INT	STRING
ID	关键字
1	www.5a5a5a.com
2	带路党
3	molihua
4	茉莉花事件
5	茉莉花
6	100%包中
7	12次下跪
8	18岁以下勿看
9	18岁以下勿入看
10	1夜情
11	27军
12	27军军长
13	3肖中特
14	54式
15	581199
16	6合采
17	6合彩
18	6合彩图
19	6和采
20	6和彩
21	630车祸
22	64式
23	6合
24	6和
25	733833
26	77式
27	887388
28	92式
29	97爱
30	97色色
31	97式
32	97式防暴枪
33	AV出售
34	AV电影
35	AV女
36	AV女优
37	A级
38	A片
39	a片网
40	bt成人
41	b好痒
42	b穴
43	b痒
44	cosplay
45	dafa
46	e夜情
47	e夜温情
48	falun
49	falundafa
50	GCT工程硕士
51	go-vern-ment
52	Government
53	g情
54	g情图片
55	g情网站
56	H电影
57	H片
58	H图
59	H站
60	jiqingshaofu
61	j巴
62	j吧
63	KCQsf的朋友
64	ktv公主
65	K粉
66	mir一条龙
67	mm穴
68	Party
69	PK黑社会
70	PPK
71	PX项目
72	SF传奇
73	SF传世
74	SF劲舞
75	SF劲舞团
76	SF巨人
77	SF魔兽
78	SF魔域
79	SF奇迹
80	SF盛大
81	SF一条龙
82	SF赚钱
83	sex
84	SF网站定做
85	SM虐待
86	todaynic
87	VIP伴游
88	vip公主
89	WP证书
90	x伴侣
91	yindi
92	yinshui
93	yin部
94	yin道
95	yin毛
96	y蒂
97	y户
98	y茎
99	zhuanfalu
100	【③肖中特】
101	【内部单双】
102	↑单双王
103	单双王
104	③肖中特
105	阿兵哥言语录
106	阿里布达年代记
107	爱神之传奇
108	爱液
109	瑷液
110	安定片
111	安眠
112	安眠药
113	按摩小姐
114	八背飞凫
115	八奶
116	罢餐
117	罢吃
118	罢饭
119	罢食
120	白小姐
121	百家乐
122	办?〓
123	办理文凭
124	办理真实
125	办理证件
126	办证
127	伴游私人
128	包房公主
129	包厢公主
130	保钓
131	暴乱
132	爆乳
133	北京Unihub公司总裁（温家宝之子?***?=**
134	北京富利公司董事长（彭真之女）
135	北京洋妞
136	北京异
137	被人干
138	本拉登
139	屄儿
140	屄裏
141	屄友
142	逼好痒
143	逼毛
144	逼穴
145	逼痒
146	毕业证书
147	冰毒
148	病毒营销
149	波波
150	波动少女
151	波佳达
152	勃朗宁
153	勃朗宁微型
154	博白县
155	博彩
156	不良少女日记
157	部巡查
158	财税代理
159	财税有限
160	彩148期现
161	彩149期现
162	彩150期现
163	彩公司↑
164	彩公司
165	彩开
166	彩免费一码中特
167	彩票机
168	彩特
169	彩曾
170	彩资料
171	沧澜曲
172	藏春阁
173	藏独
174	操逼
175	操比
176	操你妈
177	操我
178	操小逼
179	操穴
180	肏屄
181	肏干
182	肏她
183	肏妹妹
184	肏妳
185	肏娘
186	肏破
187	肏入
188	肏死
189	肏我
190	肏穴
191	肏这
192	插爆
193	插逼
194	插的好舒服
195	插的好舒适
196	插肛
197	插进来
198	插进你的下面
199	插进你下面
200	插进穴
201	插妹妹
202	插你的下面
203	插弄
204	插女
205	插肉
206	插入穴
207	插穴
208	查手机
209	朝里有人好作官
210	潮吹
211	车牌反光
212	陈海石
213	陈良宇罢官
214	成人
215	成人bt
216	成人导航
217	成人电影
218	成人電影
219	成人激情
220	成人俱乐部
221	成人卡通
222	成人聊天室
223	成人论坛
224	成人漫画
225	成人配色
226	成人片
227	成人频道
228	成人社区
229	成人社區
230	成人视频
231	成人视频聊天
232	成人图库
233	成人图片
234	成人网
235	成人网站
236	成人卫星频道
237	成人文学
238	成人午夜场
239	成人小电影
240	成人小说
241	成人影视
242	成人影院
243	成人在线
244	成人在线电影
245	成人站
246	吃角子老虎
247	赤裸
248	抽插
249	抽捣
250	抽弄
251	抽送
252	臭作
253	出墙红杏
254	出售AV
255	出售处男
256	出售处女
257	出售假币
258	出售美女
259	出售妹妹
260	出售枪支
261	出售手枪
262	处男出售
263	处女
264	处女出售
265	处女地
266	处女穴
267	處女
268	處女膜
269	传奇sfQQ
270	传奇sf开服
271	传奇sf制作
272	传奇sf制作开区
273	传奇SF
274	传奇私服
275	传奇SF发布
276	传奇SF怀旧
277	传奇SF开区
278	传奇销售
279	传奇一条龙
280	传奇一条龙都包括
281	传奇游戏一条龙
282	传世SF
283	传世私服
284	创世之子猎艳之旅
285	吹箫
286	春宫图
287	春宵
288	春药
289	粗大的玩意
290	崔英杰
291	催情药
292	达赖
293	打KING
294	打倒
295	打飞机
296	打炮
297	大jj
298	大法
299	大法弟子
300	大纪元
301	大紀元
302	大揭露
303	大陆当局
304	大陆当权者
305	大陆独裁者
306	大陆官员
307	大奶mm
308	大腿内侧
309	大学骚乱
310	大学艳遇
311	大学艳遇史
312	大游行
313	代办
314	代开
315	代开发票
316	代考
317	代考建造师
318	代考网
319	代考业务
320	代理报关
321	代理申报职称
322	代理审报
323	代注
324	戴安娜
325	戴海静
326	单发猎狗
327	单管猎枪
328	单管五连发
329	单管五连发猎枪
330	单双管平式猎枪
331	单双王影视传媒
332	党代
333	盗版
334	盗电
335	盗窃
336	盗取
337	道人
338	道县公安
339	等你插
340	邓小平
341	抵制家乐福
342	抵制日货
343	帝国之梦
344	第十六次代表
345	第十六屆
346	第十六届
347	第拾陆届
348	第一次破处
349	点对点裸聊
350	电车之狼
351	电狗
352	电影色情
353	电子地磅解码器
354	调情
355	丁香社区
356	丁香五月天
357	顶得好深
358	定位器
359	东北风情熟女之惑
360	东突
361	动乱
362	動乱
363	豆蔻
364	逗肛
365	逗乳
366	毒米
367	毒品
368	赌博
369	赌博系统
370	赌场
371	赌城
372	赌钱
373	赌球
374	赌骰子
375	短信猫
376	短信群发器
377	对日强硬
378	多党执政
379	多美康
380	多美康安定片
381	多夜情
382	恶搞晚会
383	二奶
384	二奶大奖赛
385	二奶大赛
386	二十次
387	二十大
388	发财二码
389	发浪
390	发情
391	发骚
392	發票
393	法lun功
394	法轮
395	法轮大法
396	法轮功
397	法輪功
398	反动
399	反动2
400	反革命
401	反共
402	反华
403	反右题材
404	反政府
405	反中游行
406	方法◢
